place,lat,long
Beograd,44.787197,20.457273
Bor,44.0699,22.0985
Cacak,43.8914,20.3502
Jagodina,43.9777,21.2573
Kikinda,45.8273,20.4615
Kragujevac,44.0128,20.9114
Kraljevo,43.7238,20.6873
Krusevac,43.5763,21.3336
Leskovac,42.9964,21.944
Loznica,44.5313,19.2068
Nis,43.3209,21.8958
Novi Pazar,43.13667,20.51222
Novi Sad,45.2671,19.8335
Pancevo,44.874,20.6476
Pirot,43.1557,22.5857
Pozarevac,44.6208,21.1842
Prokuplje,43.2368,21.5916
S. Mitrovica,44.9795,19.621
Sabac,44.7489,19.6908
Smederevo,44.6659,20.9335
Sombor,45.7733,19.1151
Subotica,46.1005,19.6651
Uzice,43.8556,19.8425
Valjevo,44.2743,19.8903
Vranje,42.545,21.9003
Vrsac,45.1182,21.2945
Zajecar,43.9015,22.2738
Zrenjanin,45.3816,20.3686
